customer_state,total_orders,avg_delivery_days,late_delivery_pct
SP,40494,8.76,5.89
PR,4923,11.99,5.0
MG,11354,12.01,5.61
DF,2080,12.97,7.07
SC,3546,14.95,9.76
RS,5344,15.3,7.15
RJ,12350,15.31,13.47
GO,1957,15.61,8.18
MS,701,15.62,11.55
ES,1995,15.79,12.23
TO,274,17.66,12.77
MT,886,18.06,6.77
PE,1593,18.45,10.8
RN,474,19.28,10.76
BA,3256,19.34,14.04
RO,243,19.37,2.88
PI,476,19.46,15.97
PB,517,20.43,11.03
AC,80,21.04,3.75
CE,1279,21.27,15.32
SE,335,21.52,15.22
MA,717,21.57,19.67
PA,946,23.77,12.37
AL,397,24.54,23.93
AM,145,26.43,4.14
AP,67,27.19,4.48
RR,41,29.39,12.2
